seqName,errors,warnings,failedGenes
"EV71/Ningbo.CHN/002/2010","","",""
"EV71/Ningbo.CHN/061/2011","","",""
"EV71/Ningbo.CHN/065/2010","","",""
"EV71/Ningbo.CHN/069/2010","","",""
"EV71/Ningbo.CHN/076/2009","","",""
"EV71/Ningbo.CHN/087/2009","","",""
"EV71/Ningbo.CHN/103/2009","","",""
"EV71/Ningbo.CHN/107_2/2009","","",""
"EV71/Ningbo.CHN/107/2009","","",""
"EV71/NX10_147/2010","","",""
"EV71/NX10_36/2010","","",""
"EV71/P1027/2013/China","","",""
"EV71/P1031/2013/China","","",""
"EV71/P1034/2013/China","","",""
"EV71/P123/2013/China","","",""
"EV71/P156/2013/China","","",""
"EV71/P16/2013/China","","",""
"EV71/P222/2013/China","","",""
"EV71/P267/2013/China","","",""
"EV71/P352/2013/China","","",""
"EV71/P40/2013/China","","",""
"EV71/P454/2013/China","","",""
"EV71/P63/2013/China","","",""
"EV71/P654/2013/China","","",""
"EV71/P868/2013/China","","",""
"EV71/P977/2013/China","","",""
"EV71/P990/2013/China","","",""
"EV71/Queenmary/HongKong/2012","","",""
"EV71/wuhan/3018/2010","","",""
"EV71/SAR/SHA63","","",""
"EV71/SAR/SHA66","","",""
"EV71/Xiamen/2009","","",""
"EV71/Zhejiang08","","",""
"Fuyang_0805","","",""
"EV92_07","Unable to align: no seed matches","","<<ALL>>"
"Fuyang_0805a","","",""
"Fuyang200805","","",""
"FY08_C30_P14","","",""
"FY08_C30_P2","","",""
"FY0805","","",""
"FY17.08_4/AH/CHN/2008","","",""
"FY17.08_5/AH/CHN/2008","","",""
"FY17.08_6/AH/CHN/2008","","",""
"FY17.08_7/AH/CHN/2008","","",""
"FY17.08_8/AH/CHN/2008","","",""
"FY23","","",""
"FY23_K12","","",""
"FY23_K14","","",""
"FY7VP5/AH/CHN/2008","","",""
"G288_927F/HeN/CHN/2009","","",""
"G333_972F/HeN/CHN/2009","","",""
"G398_1037F/HeN/CHN/2009","","",""
"GD_DG2011_1","","",""
"GD_DG2011_2","","",""
"GD_DG2011_3","","",""
"GD_DG2011_5","","",""
"GD_DG2011_8","","",""
"GD_DG2011_9","","",""
"GDV103","","",""
"Guangdong_2009","","",""
"GX/LZ_08_04/08/CHN","","",""
"GZ_08_01","","",""
"GZ_08_02","","",""
"GZ_08_03","","",""
"H3_TY","","",""
"H8_1","","",""
"HCM120_VNM_2011","","",""
"HCM82_VNM_2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"HCM84_VNM_2011","","",""
"HeN09_1/HeN/CHN/2009","","",""
"HeN09_17/HeN/CHN/2009","","",""
"Henan_ZMD/CHN/2012","","",""
"Henan1_09_China","","",""
"Henan10_08_China","","",""
"Henan2_09_China","","",""
"HN1360/HN/CHN/2011","","",""
"HN318/HN/CHN/2011","","",""
"HNCZ/201203","","",""
"HNCZ/201208","","",""
"HNCZ/201211","","",""
"HQ09231463","","",""
"Hubei_HG/CHN/2012","","",""
"Hubei_WH/CHN/2012","","",""
"HUN/1978","","",""
"HuzhouE371/2011/CHN","","",""
"HuzhouE696/2012/CHN","","",""
"IM11","","",""
"J115_MAL_01","","",""
"JiLin_11_China","","",""
"JK2009","","",""
"Kaifeng/2010","","",""
"KED005_LPS2","","",""
"KED005_org","","",""
"KM186/09","","",""
"KMM/09","","",""
"Laos2011_HFMD12V","","",""
"LAZ60_TR","","",""
"LCH01","","",""
"LCH02","","",""
"LN009","","",""
"LR_CH_06","","",""
"Luoyang/2011","","",""
"M0380_TW08","","",""
"M1089_TW12","","",""
"M1288_TW08","","",""
"M1473_TW08","","",""
"M1577_TW12","","",""
"M1644_TW08","","",""
"M1656_TW08","","",""
"M183_1176F/HeN/CHN/2009","","",""
"M186_1179F/HeN/CHN/2009","","",""
"M188_1181F/HeN/CHN/2009","","",""
"M202_TW12","","",""
"M245_TW08","","",""
"M314_TW08","","",""
"M448_TW08","","",""
"M538_TW12","","",""
"M617_TW12","","",""
"M654_TW12","","",""
"M665_TW08","","",""
"M668_TW08","","",""
"M707_TW08","","",""
"M957_TW12","","",""
"M988_TW12","","",""
"M990_TW12","","",""
"MP10","","",""
"MP10_2","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
