accession	name	segment	date	host	country	abbreviation	virus	strain
GU353103	Zhenjiang/JS56/CHN09	N/A	2009-07	Human	2009-07	China	N/A	Zhenjiang/JS56/CHN09
HG934203	BUD5702_HUN04	N/A	2004	Human	2004	Hungary	N/A	BUD5702_HUN04
FN665357	STU408070_GER04	N/A	2004	Unknown	2004	Germany	Enterovirus 71	STU408070_GER04
FN665325	LYO24365_FRA06	N/A	2006	Unknown	2006	France	Enterovirus 71	LYO24365_FRA06
HG934228	STU83_DEU07	N/A	2007	Human	2007	Germany	N/A	STU83_DEU07
HG934259	STU36_DEU10	N/A	2010	Human	2010	Germany	N/A	STU36_DEU10
HG934296	VER052126_FRA13	N/A	2013	Human	2013	France	N/A	VER052126_FRA13
HM037805	GD08-EV71-583	N/A	2008	Human	2008	China	N/A	GD08-EV71-583
HM038011	HN08-HLF5	N/A	N/A	Human	N/a	China	N/A	HN08-HLF5
HM776023	342/Changsha/China/HFMD/2010	N/A	2010	Human	2010	China	C4	342/Changsha/China/HFMD/2010
HM855950	01-ZJ-CHN-Z-10	N/A	2010-04-16	Human	2010-04-16	China	N/A	01-ZJ-CHN-Z-10
HQ283501	TW-1804-00	N/A	2000-05	Human	2000-05	Taiwan	B4	TW-1804-00
HQ283521	TW-2708-00	N/A	2000-06	Human	2000-06	Taiwan	B4	TW-2708-00
HQ283522	TW-2720-00	N/A	2000-06	Human	2000-06	Taiwan	B4	TW-2720-00
HQ283547	TW-4664-00	N/A	2000-10	Human	2000-10	Taiwan	B4	TW-4664-00
HQ283549	TW-4741-00	N/A	2000-10	Human	2000-10	Taiwan	B4	TW-4741-00
HQ283562	TW-1470-01	N/A	2001-05	Human	2001-05	Taiwan	B4	TW-1470-01
HQ283572	TW-1894-01	N/A	2001-05	Human	2001-05	Taiwan	B4	TW-1894-01
HQ283600	TW-2679-01	N/A	2001-06	Human	2001-06	Taiwan	B4	TW-2679-01
HQ283609	TW-2844-01	N/A	2001-06	Human	2001-06	Taiwan	B4	TW-2844-01
HQ283610	TW-2857-01	N/A	2001-06	Human	2001-06	Taiwan	B4	TW-2857-01
HQ283641	TW-3830-01	N/A	2001-07	Human	2001-07	Taiwan	B4	TW-3830-01
HQ283658	TW-4411-01	N/A	2001-08	Human	2001-08	Taiwan	B4	TW-4411-01
HQ283662	TW-4530-01	N/A	2001-08	Human	2001-08	Taiwan	B4	TW-4530-01
HQ283668	TW-4891-01	N/A	2001-09	Human	2001-09	Taiwan	B4	TW-4891-01
HQ283675	TW-5078-01	N/A	2001-09	Human	2001-09	Taiwan	B4	TW-5078-01
HQ283680	TW-5461-01	N/A	2001-10	Human	2001-10	Taiwan	B4	TW-5461-01
HQ283698	TW-6211-01	N/A	2001-12	Human	2001-12	Taiwan	B4	TW-6211-01
HQ283703	TW-6540-01	N/A	2001-12	Human	2001-12	Taiwan	B4	TW-6540-01
HQ283712	TW-916-02	N/A	2002-02	Human	2002-02	Taiwan	B4	TW-916-02
HQ283721	TW-2045-02	N/A	2002-04	Human	2002-04	Taiwan	B4	TW-2045-02
HQ283731	TW-3417-02	N/A	2002-06	Human	2002-06	Taiwan	B4	TW-3417-02
HQ283751	TW-5762-02	N/A	2002-11	Human	2002-11	Taiwan	B4	TW-5762-02
HQ283752	TW-5817-02	N/A	2002-11	Human	2002-11	Taiwan	B4	TW-5817-02
HQ283756	TW-5863-02	N/A	2002-11	Human	2002-11	Taiwan	B4	TW-5863-02
HQ283757	TW-6006-02	N/A	2002-11	Human	2002-11	Taiwan	B4	TW-6006-02
HQ283776	TW-1370-98	N/A	1998-05	Human	1998-05	Taiwan	B4	TW-1370-98
