accession	name	segment	date	host	country	abbreviation	virus	strain
KP691652	02-0-060		2013-10-16	Unknown	2013-10-16	Viet Nam		02-0-060
KP691655	02-0-083		2013-11-13	Unknown	2013-11-13	Viet Nam		02-0-083
KP691658	02-0-090		2013-11-25	Unknown	2013-11-25	Viet Nam		02-0-090
KR045300	THA_A1083		2013-03-28	Human	2013-03-28	Thailand	B5	THA_A1083
KT428644	EV71/SZ04/CHN/2014		2014-03-XX	Human	2014-03	China		EV71/SZ04/CHN/2014
KU159434	C4-ND-114_Vietnam:CaMau_2012-04-15		2012-04-15	Human	2012-04-15	Viet Nam	C4	C4-ND-114_Vietnam_CaMau_2012-04-15
KU641503	45894/BE/DE 2015		2015-07-XX	Human	2015-07	Germany	A71	45894/BE/DE2015
KU641508	46411/NW/DE 2015		2015-10-XX	Human	2015-10	Germany	A71	46411/NW/DE2015
KU647000	CQ2014-86		2014-04-02	Human	2014-04-02	China	A71	CQ2014-86
KX197459	HFM072		2012-07-15	Human	2012-07-15	Cambodia	C4a	HFM072
KX197460	HFM088		2012-07-17	Human	2012-07-17	Cambodia	C4a	HFM088
KX430817	EVA71/Homosapiens/VNM/12.1/2013		2013-XX-XX	Human	2013	Viet Nam	EV-A71	EVA71/Homosapiens/VNM/12.1/2013
KX430823	EVA71/Homosapiens/VNM/15.1/2014		2014-XX-XX	Human	2014	Viet Nam	EV-A71	EVA71/Homosapiens/VNM/15.1/2014
KX430824	EVA71/Homosapiens/VNM/15.2/2014		2014-XX-XX	Human	2014	Viet Nam	EV-A71	EVA71/Homosapiens/VNM/15.2/2014
LC626880	N826-Sendai-2003		2003-XX-XX	Human	2003	Japan		N826-Sendai-2003
LC626884	K493-Sendai-2003		2003-XX-XX	Human	2003	Japan		K493-Sendai-2003
LC626886	K399-Sendai-2003		2003-XX-XX	Human	2003	Japan		K399-Sendai-2003
LC626892	2779-Yamagata-2002		2002-XX-XX	Human	2002	Japan		2779-Yamagata-2002
LC626895	2317-Yamagata-2006		2006-XX-XX	Human	2006	Japan		2317-Yamagata-2006
LC627072	15NHP108		2015-XX-XX	Human	2015	Viet Nam		15NHP108
LC627086	16NHP379		2016-XX-XX	Human	2016	Viet Nam		16NHP379
LC627090	16NHP442		2016-XX-XX	Human	2016	Viet Nam		16NHP442
MT708802	2019-EV-A71-R480		2019-XX-XX	Human	2019	China		2019-EV-A71-R480
MW030642	EV-A71/2019/FR/0622		2019-07-XX	Human	2019-07	France	A71	EV-A71/2019/FR/0622
AB747374	Nagoya		20XX-XX-XX	Unknown	N/a	Japan		Nagoya
AB575912	10857		1966-XX-XX	Unknown	1966	Netherlands		10857
AB575918	20574		1978-XX-XX	Unknown	1978	Netherlands		20574
AF304457	Tainan/5746/98		20XX-XX-XX	Unknown	N/a			Tainan/5746/98
AF304459	Tainan/6092/98		20XX-XX-XX	Unknown	N/a			Tainan/6092/98
DQ381846	6F/AUS/6/99		20XX-XX-XX	Unknown	N/a	Australia		6F/AUS/6/99
EU414335	PLday1-CH-06		20XX-XX-XX	Unknown	N/a	Switzerland		PLday1-CH-06
EU527985	2007-08747		2007-XX-XX	Unknown	2007	Taiwan		2007-08747
EU703812	EV71/Fuyang.Anhui.P.R.C/17.08/1		2008-04-XX	Human	2008-04	China		EV71/Fuyang.Anhui.P.R.C/17.08/1
EU753384	522-04T/SD/CHN/07		2007-05-22	Human	2007-05-22	China		522-04T/SD/CHN/07
FJ357378	N2838-TW03		2003-XX-XX	Human	2003	Taiwan		N2838-TW03
