seqName,errors,warnings,failedGenes
"EV71/Homosapiens/VNM/142/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/212/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/73/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/127/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/222/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/24/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/119/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/22/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/209/2011","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/130/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/Homosapiens/VNM/63/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"11072/SD/CHN","","",""
"11298C1/SD/CHN","","",""
"13112/SD/CHN","","",""
"13164/SD/CHN","","",""
"CS98/HN/CHN/12","","",""
"104328/GZ/2010/EV71","","",""
"109834/GZ/2010/EV71","","",""
"46615_RUS_2013","","",""
"48610_RUS_2013","","",""
"HeN-11-Sanmenxia-7","","",""
"HeN-11-Sanmenxia-23","","",""
"HeN-11-Sanmenxia-33","","",""
"HeN-11-Sanmenxia-38","","",""
"HeN-11-Sanmenxia-46","","",""
"1938-Henan-2010","","",""
"9-Henan-2011","","",""
"153-Henan-2011","","",""
"212-Henan-2013","","",""
"229-Henan-2013","","",""
"2-Henan-2014","","",""
"9-Henan-2014","","",""
"13-Henan-2014","","",""
"21-Henan-2014","","",""
"06-2009","","",""
"HN-09-Anyang-223","","",""
"isolate14Zhenjiang2010","","",""
"isolate06Zhenjiang2011","","",""
"isolate11Zhenjiang2011","","",""
"isolate03Zhenjiang2013","","",""
"isolate06Zhenjiang2013","","",""
"SiICRC05/TH/2014","","",""
"JB141310009-EV71","","",""
"JB141330037-EV71","","",""
"JB141330085-EV71","","",""
"JB141330094-EV71","","",""
"JB141330150-EV71","","",""
"JB141330230-EV71","","",""
"B5-01485-TW-2012","","",""
"Sh095/CHN/2012","","",""
"Sh175/CHN/2012","","",""
"Sh213/CHN/2012","","",""
"Sh226/CHN/2012","","",""
"163/NC/CHN/2014","","",""
"BJ13033/CHN/13","","",""
"BJ13116/CHN/13","","",""
"BJ13127/CHN/13","","",""
"BJ13128/CHN/13","","",""
"BJ13227/CHN/13","","",""
"EV71/P1034/2013/China","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"EV71/P230/2013/China","","",""
"EV71/P336/2013/China","","",""
"EV71/P356/2013/China","","",""
"EV71/P986/2013/China","","",""
"EV71/P992/2013/China","","",""
"EV71/P993/2013/China","","",""
"EV71/Homosapiens/KHM/309/2012","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
